ID|RawShares|RawUsage|NormShares|NormUsage
45484|1|0|0.000000|0.000000
194|1|0|0.000000|0.000000
4459|1|15|0.000000|0.000000
78094|0|0|0.000000|0.000000
78093|0|0|0.000000|0.000000
195|1|0|0.000000|0.000000
4460|1|0|0.000000|0.000000
116571|0|0|0.000000|0.000000
116572|0|0|0.000000|0.000000
196|0|0|0.000000|0.000000
4461|0|0|0.000000|0.000000
114440|1|0|0.000000|0.000000
114441|1|0|0.000000|0.000000
97425|0|0|0.000000|0.000000
97426|0|0|0.000000|0.000000
129963|0|0|0.000000|0.000000
129964|0|0|0.000000|0.000000
77192|1|0|0.000000|0.000000
77193|1|0|0.000000|0.000000
197|1|0|0.000000|0.000000
4462|1|0|0.000000|0.000000
61661|0|0|0.000000|0.000000
61662|0|0|0.000000|0.000000
99873|0|0|0.000000|0.000000
99874|0|0|0.000000|0.000000
88722|1|0|0.000000|0.000000
88723|1|0|0.000000|0.000000
57015|182881|6690449602|0.001648|0.000111
57016|1|7169786|0.000000|0.000000
150481|1|0|0.000000|0.000000
150482|1|0|0.000000|0.000000
121880|0|0|0.000000|0.000000
121881|0|0|0.000000|0.000000
61801|1|99579|0.000000|0.000000
61802|1|0|0.000000|0.000000
168762|1|0|0.000000|0.000000
168763|1|0|0.000000|0.000000
138144|1|21309349220|0.000000|0.000354
138145|1|93819389|0.000000|0.000002
153534|0|0|0.000000|0.000000
153535|0|0|0.000000|0.000000
199|1|0|0.000000|0.000000
4464|1|0|0.000000|0.000000
179846|1|0|0.000000|0.000000
179847|1|33165957|0.000000|0.000001
200|0|0|0.000000|0.000000
4465|0|0|0.000000|0.000000
